transaction_reference,authorization_number,primary_account_number,card_bin_number,card_suffix,card_expiry_date,card_product_type,account_type,transaction_date,transaction_time,local_date,local_time,transaction_amount_inr,transaction_currency_code,settlement_amount,settlement_currency,transaction_code,transaction_description,merchant_identifier,merchant_business_name,mcc_code,merchant_location_city,merchant_location_state,merchant_country_code,merchant_postal_code,merchant_phone,terminal_identifier,pos_entry_capability,pos_cardholder_presence,card_present_indicator,authorization_response_code,response_code,response_description,approval_date,address_verification_result,cvv_verification_result,cvv_presence_indicator,acquiring_institution_id,acquiring_bin,issuing_bin,visa_network_reference,interchange_reimbursement_fee,service_charge,network_processing_fee,gst_amount,retrieval_reference_number,system_trace_audit_number,batch_identifier,settlement_date,fraud_detection_score,risk_assessment,secure_3d_auth_status,secure_3d_eci,bank_name,data_source,record_created_timestamp
SBI000000005212,AUTH0005212,453231******5858,453231,5858,2701,VISA,CREDIT,20251210,231057,20251210,231057,9231.38,356,,,200000,POS PURCHASE,SBI968410,Bandi and Sons,5732,Lucknow,Madhya Pradesh,IND,411453,,TERM749575,05,1,0,,61,Do not honor,20251210,S,M,0,SBI00001,453231,453231,VISA9432076442,68.55,29.41,9.26,19.4,RRN0000005212,005212,BATCH34258,20251212,496.0,HIGH,U,,SBI,SBI_BANK,2026-01-04T23:10:57.611877
SBI000000006424,AUTH0006424,453231******4399,453231,4399,2804,VISA,CURRENT,20251230,231057,20251230,231057,348.07,356,,,010000,ATM WITHDRAWAL,SBI438733,Narang-Seshadri,5942,Mumbai,Assam,IND,660229,,TERM378989,05,1,0,A68897,14,Do not honor,20251230,P,N,1,SBI00001,453232,453231,VISA8097443942,16.23,36.97,3.37,,RRN0000006424,006424,BATCH18687,20251231,221.0,,A,05,SBI,SBI_BANK,2026-01-04T23:10:57.751433
SBI000000005527,AUTH0005527,453232******4356,453232,4356,2712,VISA,CURRENT,20251211,231057,20251211,231057,6364.86,356,,,200000,POS PURCHASE,SBI878707,Soman LLC,5651,Chennai,West Bengal,IND,317263,,TERM796302,02,1,0,A56589,00,Insufficient funds,20251211,P,S,0,SBI00001,453231,453232,VISA2821503217,57.62,29.02,2.49,7.64,RRN0000005527,005527,BATCH28271,20251213,533.0,MEDIUM,U,,SBI,SBI_BANK,2026-01-04T23:10:57.648793
SBI000000006278,AUTH0006278,453234******3379,453234,3379,2809,VISA,CREDIT,20251219,231057,20251219,231057,6975.38,356,,,010000,ATM WITHDRAWAL,SBI966331,Sood Ltd,,Bangalore,Himachal Pradesh,IND,809582,,TERM364705,90,2,0,,91,Insufficient funds,20251219,A,N,1,SBI00001,453234,453234,VISA6242413011,45.25,,15.55,,RRN0000006278,006278,BATCH67668,20251221,,LOW,Y,05,SBI,SBI_BANK,2026-01-04T23:10:57.733597
SBI000000007063,AUTH0007063,453232******8707,453232,8707,2608,VISA,SAVINGS,20251219,231057,20251219,231057,3366.71,356,,,010000,REFUND,SBI454424,Kannan Group,5691,Lucknow,Bihar,IND,834599,4396822983,TERM679944,05,0,0,,51,Approved,20251219,P,S,1,SBI00001,453233,453232,VISA1858135828,85.35,11.87,3.34,6.58,RRN0000007063,007063,BATCH76776,20251220,514.0,MEDIUM,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.821561
SBI000000004204,AUTH0004204,453234******9549,453234,9549,2710,VISA,SAVINGS,2025-12-11,231057,20251211,231057,2840.23,356,,,010000,REFUND,SBI716298,"Grover, Thaker and Srinivasan",5651,Mumbai,Madhya Pradesh,IND,312070,07555258685,TERM331215,90,2,0,A68506,05,Insufficient funds,20251211,P,P,1,SBI00001,453231,453234,VISA4689456598,26.46,13.26,12.03,25.65,RRN0000004204,004204,BATCH63812,20251212,,MEDIUM,Y,07,SBI,SBI_BANK,2026-01-04T23:10:57.493879
SBI000000007395,AUTH0007395,453232******9715,453232,9715,2706,VISA,CURRENT,20251206,231057,20251206,231057,8817.15,356,,,000000,POS PURCHASE,SBI343763,Hayre Inc,5541,Ahmedabad,Karnataka,IND,279029,,TERM721293,81,1,1,A20640,05,Do not honor,20251206,Y,S,0,SBI00001,453233,453232,VISA7207938424,18.61,,,,RRN0000007395,007395,BATCH13890,20251207,,HIGH,U,,SBI,SBI_BANK,2026-01-04T23:10:57.857842
SBI000000006786,AUTH0006786,453231******3852,453231,3852,2703,VISA,CURRENT,20260103,231057,20260103,231057,9429.64,356,,,200000,REFUND,SBI515273,Shah LLC,5942,Ahmedabad,Assam,IND,338510,,TERM274121,05,1,0,A13486,91,Insufficient funds,20260103,S,N,0,SBI00001,453232,453231,VISA4515490578,36.67,27.66,2.29,,RRN0000006786,006786,BATCH56409,20260104,651.0,HIGH,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.791621
SBI000000004009,AUTH0004009,453232******1207,453232,1207,2902,VISA,SAVINGS,20251230,231057,20251230,231057,9388.95,356,,,010000,ONLINE PAYMENT,SBI172924,Dhar-Purohit,5732,Lucknow,Meghalaya,IND,821810,,TERM192415,90,2,1,A50146,61,Insufficient funds,20251230,S,M,0,SBI00001,453232,453232,VISA2511752940,11.33,,18.45,13.45,RRN0000004009,004009,BATCH11708,20260101,88.0,,Y,07,SBI,SBI_BANK,2026-01-04T23:10:57.470039
SBI000000004170,AUTH0004170,453234******4306,453234,4306,2704,VISA,CREDIT,2025-12-09,231057,20251209,231057,2247.88,356,,,010000,REFUND,SBI849914,Shenoy Inc,5921,Mumbai,Haryana,IND,539967,,TERM201734,02,1,1,A52845,05,Insufficient funds,20251209,Y,U,0,SBI00001,453233,453234,VISA2294355143,,48.74,15.37,,RRN0000004170,004170,BATCH97152,20251210,116.0,LOW,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.489842
SBI000000005607,AUTH0005607,453233******6984,453233,6984,2905,VISA,CREDIT,20251213,231057,20251213,231057,4684.38,356,,,000000,POS PURCHASE,SBI649204,Badal-Bath,5814,Jaipur,Assam,IND,755795,,TERM747075,05,0,0,A52290,91,Insufficient funds,20251213,U,M,1,SBI00001,453232,453233,VISA3348562415,81.6,5.81,,13.71,RRN0000005607,005607,BATCH80053,20251215,839.0,LOW,U,06,SBI,SBI_BANK,2026-01-04T23:10:57.659104
SBI000000006868,AUTH0006868,453233******7713,453233,7713,2707,VISA,CURRENT,31-12-2025,231057,20251231,231057,226.8,356,,,200000,POS PURCHASE,SBI573578,"Konda, Anand and Seth",5411,Pune,,IND,822130,,TERM840956,81,0,0,A69046,00,Approved,20251231,N,N,1,SBI00001,453233,453233,VISA1404002771,,,,7.82,RRN0000006868,006868,BATCH54767,20260102,212.0,LOW,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.799767
SBI000000005846,AUTH0005846,453233******9293,453233,9293,3012,VISA,CREDIT,20251206,231057,20251206,231057,654.37,356,,,010000,ONLINE PAYMENT,SBI633053,Nagy-Sabharwal,5311,Lucknow,Tamil Nadu,IND,526566,,TERM726303,81,1,1,A32250,51,Approved,20251206,U,P,1,SBI00001,453234,453233,VISA6923080577,89.81,,,7.25,RRN0000005846,005846,BATCH19462,20251207,593.0,LOW,N,05,SBI,SBI_BANK,2026-01-04T23:10:57.686591
SBI000000006695,AUTH0006695,453233******9784,453233,9784,2603,VISA,CURRENT,20251213,231057,20251213,231057,6415.57,356,,,000000,ATM WITHDRAWAL,SBI228733,"Kohli, D’Alia and Chaudhuri",,Jaipur,Sikkim,IND,935780,6545948062,TERM977145,05,0,0,A09527,51,Approved,20251213,Y,P,1,SBI00001,453233,453233,VISA3326377187,56.81,13.59,,21.86,RRN0000006695,006695,BATCH50191,20251215,338.0,MEDIUM,A,,SBI,SBI_BANK,2026-01-04T23:10:57.779875
SBI000000007444,AUTH0007444,453231******9694,453231,9694,2901,VISA,CREDIT,20251210,231057,20251210,231057,7763.13,356,,,010000,ONLINE PAYMENT,SBI796653,Banik PLC,5942,Mumbai,Rajasthan,IND,839326,9734829045,TERM341310,02,0,0,A05732,91,Do not honor,20251210,S,M,1,SBI00001,453232,453231,VISA2529352952,,27.46,11.56,,RRN0000007444,007444,BATCH93125,20251212,936.0,LOW,U,07,SBI,SBI_BANK,2026-01-04T23:10:57.860247
SBI000000004876,AUTH0004876,453232******5952,453232,5952,2902,VISA,SAVINGS,20251231,231057,20251231,231057,1619.13,356,,,010000,ONLINE PAYMENT,SBI221292,"Dara, Chaudhari and Pillai",5921,Bangalore,Mizoram,IND,245834,,TERM211517,05,2,1,A11014,14,Insufficient funds,20251231,N,N,1,SBI00001,453232,453232,VISA3673742763,30.22,40.59,12.92,23.47,RRN0000004876,004876,BATCH17108,20260102,,LOW,N,07,SBI,SBI_BANK,2026-01-04T23:10:57.574164
SBI000000006800,AUTH0006800,453234******2296,453234,2296,2706,VISA,CREDIT,20251214,231057,20251214,231057,3897.39,356,,,200000,POS PURCHASE,SBI356833,Walla PLC,,Lucknow,Telangana,IND,841232,,TERM970408,02,2,0,A33138,00,Insufficient funds,20251214,N,S,1,SBI00001,453232,453234,VISA4836903038,96.57,14.24,,15.67,RRN0000006800,006800,BATCH34236,20251216,450.0,LOW,N,,SBI,SBI_BANK,2026-01-04T23:10:57.792796
SBI000000005918,AUTH0005918,453233******6245,453233,6245,2904,VISA,CURRENT,20251207,231057,20251207,231057,-8122.34,356,,,010000,ATM WITHDRAWAL,SBI289707,Hayre-Sarma,5661,Ahmedabad,Punjab,IND,,,TERM455721,02,2,1,A96317,51,Do not honor,20251207,A,M,0,SBI00001,453233,453233,VISA6803104914,19.86,5.35,6.04,8.65,RRN0000005918,005918,BATCH84925,20251208,518.0,MEDIUM,U,06,SBI,SBI_BANK,2026-01-04T23:10:57.693415
SBI000000005174,AUTH0005174,453232******7435,453232,7435,2804,VISA,CREDIT,20251215,231057,20251215,231057,9435.36,356,,,200000,REFUND,SBI546083,Bora-Ramanathan,5691,Lucknow,West Bengal,IND,420312,+918388148994,TERM769913,05,1,0,A82233,05,Approved,20251215,S,U,1,SBI00001,453231,453232,VISA9001374194,46.0,16.25,9.41,18.02,RRN0000005174,005174,BATCH28958,20251217,348.0,,N,,SBI,SBI_BANK,2026-01-04T23:10:57.608288
SBI000000004168,AUTH0004168,453234******5414,453234,5414,3010,VISA,CREDIT,20251228,231057,20251228,231057,1771.03,356,,,000000,ATM WITHDRAWAL,SBI979073,Kapoor Inc,5814,Pune,,IND,917537,+915812876634,TERM479560,81,0,1,A04197,61,Insufficient funds,20251228,N,N,0,SBI00001,453231,453234,VISA5827271369,26.2,,4.87,15.81,RRN0000004168,004168,BATCH90316,20251230,,LOW,U,06,SBI,SBI_BANK,2026-01-04T23:10:57.489842
SBI000000004934,AUTH0004934,453231******2007,453231,2007,2609,VISA,SAVINGS,20251223,231057,20251223,231057,9840.34,356,,,010000,ONLINE PAYMENT,SBI160264,Kaul-Chada,,Bangalore,Chhattisgarh,IND,948905,+914138298790,TERM878351,90,0,0,,14,Approved,20251223,A,M,0,SBI00001,453231,453231,VISA5407159739,50.39,33.38,3.8,28.16,RRN0000004934,004934,BATCH87054,20251225,,MEDIUM,N,,SBI,SBI_BANK,2026-01-04T23:10:57.579858
SBI000000006410,AUTH0006410,453232******3567,453232,3567,2708,VISA,CREDIT,20251225,231057,20251225,231057,2951.07,356,,,000000,POS PURCHASE,SBI166506,Raman-Kashyap,,Jaipur,Uttar Pradesh,IND,,,TERM259958,05,0,0,A43976,00,Approved,20251225,U,S,0,SBI00001,453231,453232,VISA8684143731,37.7,,4.47,,RRN0000006410,006410,BATCH12672,20251226,,MEDIUM,U,06,SBI,SBI_BANK,2026-01-04T23:10:57.749825
SBI000000006032,AUTH0006032,453233******5852,453233,5852,2911,VISA,CURRENT,2025-12-20,231057,20251220,231057,771.23,356,,,000000,REFUND,SBI422500,"Sabharwal, Dalal and Ramanathan",4121,Mumbai,Andhra Pradesh,IND,812844,,TERM808031,05,2,1,A01311,91,Approved,20251220,N,P,1,SBI00001,453231,453233,VISA8640155032,72.61,40.2,4.06,,RRN0000006032,006032,BATCH34935,20251222,446.0,LOW,A,05,SBI,SBI_BANK,2026-01-04T23:10:57.707738
SBI000000006862,AUTH0006862,453233******4367,453233,4367,2909,VISA,SAVINGS,20260103,231057,20260103,231057,5934.04,356,,,200000,POS PURCHASE,SBI620308,Ram PLC,5814,Lucknow,Jharkhand,IND,881668,+915354318705,TERM672138,81,1,1,A09822,91,Approved,20260103,P,P,1,SBI00001,453233,453233,VISA7057542990,21.34,,3.67,20.1,RRN0000006862,006862,BATCH20761,20260105,645.0,MEDIUM,U,05,SBI,SBI_BANK,2026-01-04T23:10:57.798755
SBI000000004421,AUTH0004421,453232******7350,453232,7350,2612,VISA,SAVINGS,2025-12-26,231057,20251226,231057,3179.78,356,,,000000,ATM WITHDRAWAL,SBI244373,Lalla-Bora,5912,Ahmedabad,Bihar,IND,342440,,TERM481474,90,2,1,,51,Do not honor,20251226,P,P,1,SBI00001,453232,453232,VISA7242935935,68.46,33.14,,5.27,RRN0000004421,004421,BATCH42647,20251228,176.0,MEDIUM,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.520316
SBI000000007470,AUTH0007470,453231******9950,453231,9950,2912,VISA,SAVINGS,2025-12-28,231057,20251228,231057,8074.22,356,,,010000,POS PURCHASE,SBI705558,Khare LLC,5651,Pune,Uttarakhand,IND,588441,,TERM918899,05,2,0,A13590,91,Approved,20251228,U,S,1,SBI00001,453233,453231,VISA5112115450,,8.76,19.71,23.88,RRN0000007470,007470,BATCH95716,20251229,53.0,LOW,N,07,SBI,SBI_BANK,2026-01-04T23:10:57.865401
SBI000000005719,AUTH0005719,453233******8413,453233,8413,3009,VISA,CREDIT,20260101,231057,20260101,231057,9705.59,356,,,200000,REFUND,SBI380349,Kakar Ltd,5814,Hyderabad,Haryana,IND,178522,,TERM564874,81,0,1,A69417,61,Insufficient funds,20260101,P,P,0,SBI00001,453233,453233,VISA1493948970,51.59,47.17,,13.07,RRN0000005719,005719,BATCH67854,20260103,,HIGH,A,,SBI,SBI_BANK,2026-01-04T23:10:57.671615
SBI000000004962,AUTH0004962,453233******9238,453233,9238,2703,VISA,CREDIT,20251206,231057,20251206,231057,7920.41,356,,,200000,ONLINE PAYMENT,SBI903603,Misra and Sons,5691,Bangalore,Madhya Pradesh,IND,973463,05963946845,TERM319105,81,2,1,A83109,91,Insufficient funds,20251206,Y,N,1,SBI00001,453234,453233,VISA2152393955,43.88,36.74,2.86,,RRN0000004962,004962,BATCH51211,20251208,,,A,,SBI,SBI_BANK,2026-01-04T23:10:57.585153
SBI000000006478,AUTH0006478,453233******6981,453233,6981,2606,VISA,SAVINGS,20251229,231057,20251229,231057,635.87,356,,,200000,POS PURCHASE,SBI217601,"Korpal, Kothari and Ramachandran",5921,Kolkata,Bihar,IND,362842,,TERM605561,81,0,0,A23933,00,Approved,20251229,N,S,0,SBI00001,453231,453233,VISA3563884066,,40.08,17.99,,RRN0000006478,006478,BATCH52643,20251230,,,N,,SBI,SBI_BANK,2026-01-04T23:10:57.753851
SBI000000007401,AUTH0007401,453232******5402,453232,5402,2609,VISA,SAVINGS,20251210,231057,20251210,231057,4791.78,356,,,010000,POS PURCHASE,SBI663886,Sinha-Pall,5814,Mumbai,Sikkim,IND,895174,+916437979752,TERM418719,05,2,0,A54217,91,Insufficient funds,20251210,S,S,0,SBI00001,453233,453232,VISA9094780488,84.29,36.23,4.56,14.0,RRN0000007401,007401,BATCH46392,20251211,413.0,,Y,07,SBI,SBI_BANK,2026-01-04T23:10:57.858242
SBI000000004075,AUTH0004075,453231******0610,453231,0610,3001,VISA,CREDIT,20251212,231057,20251212,231057,1998.54,356,,,000000,ONLINE PAYMENT,SBI162557,Chana-Dugar,5942,Delhi,Maharashtra,IND,,,TERM768178,81,2,1,A98086,51,Insufficient funds,20251212,N,S,1,SBI00001,453232,453231,VISA7472920733,53.21,,7.7,20.5,RRN0000004075,004075,BATCH57491,20251213,351.0,HIGH,Y,05,SBI,SBI_BANK,2026-01-04T23:10:57.478137
SBI000000004652,AUTH0004652,453233******4118,453233,4118,2908,VISA,CREDIT,20251231,231057,20251231,231057,9377.34,356,,,010000,ATM WITHDRAWAL,SBI154732,Sarraf-Devan,5814,Kolkata,Arunachal Pradesh,IND,893569,,TERM958995,02,1,1,A97506,91,Do not honor,20251231,S,P,0,SBI00001,453231,453233,VISA7109215159,37.7,,11.19,12.65,RRN0000004652,004652,BATCH84767,20260102,64.0,LOW,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.546293
SBI000000004318,AUTH0004318,453231******1016,453231,1016,2605,VISA,CREDIT,20251230,231057,20251230,231057,2417.36,356,,,010000,REFUND,SBI484751,"Chokshi, Modi and Swamy",5541,Mumbai,Tripura,IND,468376,4250743820,TERM809463,90,2,0,A39500,51,Do not honor,20251230,P,M,1,SBI00001,453233,453231,VISA2247884928,61.75,30.38,5.96,8.96,RRN0000004318,004318,BATCH93839,20251231,,,Y,05,SBI,SBI_BANK,2026-01-04T23:10:57.507744
SBI000000004099,AUTH0004099,453231******2672,453231,2672,3003,VISA,CREDIT,20251223,231057,20251223,231057,3257.94,356,,,200000,REFUND,SBI881523,Malhotra-Bhakta,4121,Chennai,Manipur,IND,399941,01939146037,TERM604054,05,2,1,A82803,51,Insufficient funds,20251223,U,N,1,SBI00001,453234,453231,VISA9964560113,99.3,19.48,8.37,14.6,RRN0000004099,004099,BATCH93128,20251224,390.0,,A,06,SBI,SBI_BANK,2026-01-04T23:10:57.480652
SBI000000004784,AUTH0004784,711364******4764,711364,4764,2701,VISA,SAVINGS,20251228,231057,20251228,231057,6573.77,356,,,010000,ATM WITHDRAWAL,SBI801598,Vaidya Inc,5411,Jaipur,Uttarakhand,IND,171517,7330027632,TERM985120,90,2,1,,05,Approved,20251228,A,S,0,SBI00001,453234,711364,VISA4578699563,89.78,,,,RRN0000004784,004784,BATCH70722,20251230,179.0,MEDIUM,N,,SBI,SBI_BANK,2026-01-04T23:10:57.559910
SBI000000004772,AUTH0004772,453231******9305,453231,9305,2612,VISA,CURRENT,20260104,231057,20260104,231057,7169.58,356,,,000000,ATM WITHDRAWAL,SBI418832,Vig-Om,5691,Hyderabad,Sikkim,IND,247698,,TERM959213,90,2,1,A84313,00,Approved,20260104,N,P,1,SBI00001,453233,453231,VISA3052919504,16.44,28.64,,9.11,RRN0000004772,004772,BATCH93937,20260105,,LOW,U,07,SBI,SBI_BANK,2026-01-04T23:10:57.559910
SBI000000004470,AUTH0004470,453234******1636,453234,1636,2803,VISA,CREDIT,20251209,231057,20251209,231057,-8302.55,356,,,200000,ONLINE PAYMENT,SBI579732,Mannan-Raju,5999,Lucknow,Assam,IND,,,TERM225693,05,1,0,A61605,61,Insufficient funds,20251209,S,M,1,SBI00001,453231,453234,VISA1179526030,33.04,10.89,6.96,,RRN0000004470,004470,BATCH71560,20251211,735.0,HIGH,N,,SBI,SBI_BANK,2026-01-04T23:10:57.524025
SBI000000006485,AUTH0006485,453231******2026,453231,2026,2907,VISA,CURRENT,20251225,231057,20251225,231057,2099.3,356,,,200000,ATM WITHDRAWAL,SBI857414,Ram LLC,,Kolkata,Karnataka,IND,836820,,TERM102471,05,1,0,,61,Approved,20251225,A,S,1,SBI00001,453233,453231,VISA5772131756,12.36,41.51,15.79,11.73,RRN0000006485,006485,BATCH96465,20251226,,,U,,SBI,SBI_BANK,2026-01-04T23:10:57.757930
SBI000000004805,AUTH0004805,172813******2348,172813,2348,2902,VISA,CREDIT,20251209,231057,20251209,231057,6981.47,356,,,010000,ONLINE PAYMENT,SBI415781,Batra Ltd,,Kolkata,Assam,IND,,+913022123955,TERM922639,90,0,0,A12169,61,Approved,20251209,P,P,0,SBI00001,453232,172813,VISA7002603088,61.23,13.49,,19.47,RRN0000004805,004805,BATCH88498,20251210,,HIGH,A,,SBI,SBI_BANK,2026-01-04T23:10:57.567016
SBI000000005694,AUTH0005694,453233******3715,453233,3715,2810,VISA,CREDIT,20251209,231057,20251209,231057,8936.19,356,,,200000,ATM WITHDRAWAL,SBI159409,Mallick Inc,5814,Delhi,Manipur,IND,907906,8136649290,TERM873725,05,1,1,A70383,91,Approved,20251209,S,S,0,SBI00001,453233,453233,VISA7160665367,13.44,22.03,11.99,16.38,RRN0000005694,005694,BATCH80268,20251211,,MEDIUM,A,,SBI,SBI_BANK,2026-01-04T23:10:57.667979
SBI000000004941,AUTH0004941,312116******7702,312116,7702,2905,VISA,CURRENT,17-12-2025,231057,20251217,231057,3001.1,356,,,000000,ONLINE PAYMENT,SBI644941,Kalita-Doctor,,Mumbai,Nagaland,IND,171336,,TERM117659,81,0,1,A23913,05,Insufficient funds,20251217,U,N,1,SBI00001,453232,312116,VISA2425032729,25.79,,,14.08,RRN0000004941,004941,BATCH51953,20251218,,MEDIUM,N,,SBI,SBI_BANK,2026-01-04T23:10:57.579858
SBI000000005610,AUTH0005610,453231******4588,453231,4588,2907,VISA,SAVINGS,20260102,231057,20260102,231057,4493.77,356,,,200000,ONLINE PAYMENT,SBI983721,"Khatri, Sehgal and Dixit",5691,Kolkata,Gujarat,IND,573361,,TERM501994,05,0,0,,05,Approved,20260102,U,M,0,SBI00001,453231,453231,VISA2319834518,,25.13,9.44,,RRN0000005610,005610,BATCH94910,20260104,616.0,HIGH,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.659104
SBI000000007022,AUTH0007022,453234******1678,453234,1678,2811,VISA,SAVINGS,20251207,231057,20251207,231057,61.11,356,,,000000,REFUND,SBI361099,Ahluwalia LLC,,Hyderabad,Arunachal Pradesh,IND,808773,3450373509,TERM512214,90,2,1,A26925,14,Do not honor,20251207,Y,U,0,SBI00001,453233,453234,VISA6121431047,45.31,36.67,12.35,18.97,RRN0000007022,007022,BATCH80965,20251208,79.0,MEDIUM,A,,SBI,SBI_BANK,2026-01-04T23:10:57.816391
SBI000000007068,AUTH0007068,453231******3826,453231,3826,2910,VISA,CURRENT,2025-12-15,231057,20251215,231057,7632.12,356,,,000000,ONLINE PAYMENT,SBI390034,Bhargava LLC,5942,Bangalore,Mizoram,IND,948666,+916113362885,TERM693971,81,2,0,A70158,00,Do not honor,20251215,U,S,0,SBI00001,453232,453231,VISA9591348629,84.19,47.57,10.72,26.09,RRN0000007068,007068,BATCH74923,20251217,,LOW,U,07,SBI,SBI_BANK,2026-01-04T23:10:57.821561
SBI000000005397,AUTH0005397,453234******8622,453234,8622,2708,VISA,CURRENT,20260104,231057,20260104,231057,4695.84,356,,,200000,ONLINE PAYMENT,SBI917228,Barad Ltd,5661,Delhi,Uttarakhand,IND,748710,,TERM775181,02,0,0,A26421,14,Do not honor,20260104,P,P,1,SBI00001,453233,453234,VISA7495290389,22.29,33.35,,16.59,RRN0000005397,005397,BATCH23023,20260106,212.0,LOW,N,,SBI,SBI_BANK,2026-01-04T23:10:57.634244
SBI000000006535,AUTH0006535,453232******3234,453232,3234,2605,VISA,CREDIT,20251214,231057,20251214,231057,474.68,356,,,000000,POS PURCHASE,SBI417226,Mistry-Batra,,Pune,Manipur,IND,814098,,TERM885430,90,1,1,A74881,00,Do not honor,20251214,A,S,0,SBI00001,453231,453232,VISA2077557314,,,13.9,21.11,RRN0000006535,006535,BATCH11336,20251216,131.0,,U,07,SBI,SBI_BANK,2026-01-04T23:10:57.760064
SBI000000006252,AUTH0006252,453231******8194,453231,8194,3005,VISA,CURRENT,20251217,231057,20251217,231057,981.35,356,,,200000,POS PURCHASE,SBI337215,"Sekhon, Narayan and Gour",5661,Hyderabad,,IND,450017,05700562844,TERM492056,90,2,0,A32908,61,Do not honor,20251217,S,S,1,SBI00001,453233,453231,VISA2858450433,36.29,14.77,12.39,,RRN0000006252,006252,BATCH20087,20251219,127.0,LOW,Y,06,SBI,SBI_BANK,2026-01-04T23:10:57.731106
SBI000000004006,AUTH0004006,453234******6782,453234,6782,2602,VISA,SAVINGS,2025-12-25,231057,20251225,231057,1549.53,356,,,200000,ATM WITHDRAWAL,SBI627540,"Saini, Sachdeva and Nazareth",5661,Delhi,Haryana,IND,776309,,TERM562713,81,1,0,A39036,91,Approved,20251225,A,U,1,SBI00001,453234,453234,VISA7846190922,37.06,,2.36,29.21,RRN0000004006,004006,BATCH86030,20251226,712.0,LOW,N,07,SBI,SBI_BANK,2026-01-04T23:10:57.470039
SBI000000004745,AUTH0004745,453234******1903,453234,1903,2611,VISA,CREDIT,20251212,231057,20251212,231057,5935.76,356,,,200000,ATM WITHDRAWAL,SBI329835,Magar LLC,5541,Pune,Andhra Pradesh,IND,557453,,TERM550780,81,1,1,A93865,14,Approved,20251212,U,N,1,SBI00001,453234,453234,VISA1398007669,44.43,,,14.59,RRN0000004745,004745,BATCH32660,20251213,,,A,,SBI,SBI_BANK,2026-01-04T23:10:57.559910
SBI000000007173,AUTH0007173,453232******5711,453232,5711,2607,VISA,CURRENT,20251231,231057,20251231,231057,4903.66,356,,,000000,ATM WITHDRAWAL,SBI491556,Kumar Inc,5814,Hyderabad,Gujarat,IND,583826,04029816878,TERM829484,81,1,0,A33262,91,Do not honor,20251231,P,N,0,SBI00001,453233,453232,VISA7702247519,34.02,44.39,,10.23,RRN0000007173,007173,BATCH33630,20260101,992.0,LOW,U,,SBI,SBI_BANK,2026-01-04T23:10:57.832831
SBI000000005715,AUTH0005715,453232******2506,453232,2506,2602,VISA,SAVINGS,20251225,231057,20251225,231057,2193.81,356,,,010000,ATM WITHDRAWAL,SBI129275,"Raj, Raghavan and Rama",5912,Chennai,Chhattisgarh,IND,908154,1362153944,TERM268844,90,2,1,A06014,00,Approved,20251225,U,U,1,SBI00001,453234,453232,VISA4660701836,47.81,31.89,11.01,24.03,RRN0000005715,005715,BATCH27684,20251226,,HIGH,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.670320
SBI000000005310,AUTH0005310,453234******1291,453234,1291,2911,VISA,SAVINGS,20260101,231057,20260101,231057,2561.84,356,,,000000,ATM WITHDRAWAL,SBI935087,Doctor and Sons,5651,Jaipur,Sikkim,IND,,,TERM360541,81,1,0,A42033,51,Approved,20260101,P,U,0,SBI00001,453234,453234,VISA1889351094,59.04,17.81,11.8,23.23,RRN0000005310,005310,BATCH67229,20260103,,LOW,U,,SBI,SBI_BANK,2026-01-04T23:10:57.623974
SBI000000005370,AUTH0005370,453233******1342,453233,1342,2911,VISA,CURRENT,20251214,231057,20251214,231057,8897.76,356,,,200000,POS PURCHASE,SBI811167,Gola-Kakar,5732,Bangalore,Arunachal Pradesh,IND,161743,05117682515,TERM626603,90,2,0,A28800,61,Do not honor,20251214,N,S,1,SBI00001,453234,453233,VISA1319917439,31.7,12.89,4.04,17.28,RRN0000005370,005370,BATCH65261,20251216,,,U,,SBI,SBI_BANK,2026-01-04T23:10:57.630312
SBI000000005860,AUTH0005860,453234******3199,453234,3199,2907,VISA,SAVINGS,20251217,231057,20251217,231057,2506.65,356,,,010000,ATM WITHDRAWAL,SBI409923,Talwar and Sons,,Mumbai,Karnataka,IND,235926,,TERM707371,81,0,0,A02214,05,Do not honor,20251217,A,N,0,SBI00001,453231,453234,VISA7886672472,33.33,28.7,7.13,26.78,RRN0000005860,005860,BATCH28126,20251218,,MEDIUM,U,,SBI,SBI_BANK,2026-01-04T23:10:57.686591
SBI000000006608,AUTH0006608,453234******2215,453234,2215,3004,VISA,SAVINGS,20251215,231057,20251215,231057,6727.2,356,,,200000,ATM WITHDRAWAL,SBI111696,Gupta Inc,5912,Jaipur,Tripura,IND,367349,+919309587202,TERM996314,90,1,0,,91,Insufficient funds,20251215,S,U,0,SBI00001,453233,453234,VISA6395567721,23.76,19.67,16.11,8.92,RRN0000006608,006608,BATCH40431,20251217,155.0,HIGH,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.770958
